temp_c,swvl1,swvl2,solar_MJ,evap_mm,rain_mm,sp,soil_avg,rain_3d,soil_lag1,irrigate,evapotranspiration,humidity,solar_radiation,temperature,rainfall,wind_speed,rain_event,dryness_index,heat_stress,month,NDVI,NDWI
19.615701111111132,0.22831492965277775,0.28364711430555556,19.047637291666668,-6.1204873243055555,0.0,91821.30791666667,0.2559810219791666,0.0,0.2570478655208333,1,4.51,65.29,22.58,17.98,0.0,1.38,0,4.51,0,1,0.226317118,-0.232257854
19.964377569444466,0.22392898152777774,0.2799969780555555,18.712307055555556,-5.8169856201388885,0.026983008,91861.99652777778,0.25196297979166665,0.03851649900022735,0.2529067995833333,1,4.34,71.65,19.03,18.2,0.0,1.27,0,4.34,0,1,0.222906695,-0.230842575
19.894889513888913,0.21992206545138884,0.27647442229166663,18.783495513888887,-5.882727960416666,0.015342230699999975,91858.08569444445,0.24819824387152772,0.08845921710034103,0.2491411628993055,1,4.31,68.18,21.61,17.78,0.0,1.25,0,4.31,0,1,0.219496272,-0.229427296
19.879536666666688,0.21609592416666665,0.2729910746527778,19.21058077777778,-6.022924713888889,0.015660846899999997,91763.9177777778,0.24454349940972223,0.01957687110022735,0.24542644291666665,1,4.26,68.68,22.41,17.92,0.0,1.27,0,4.26,0,1,0.216085849,-0.228012017
20.323969166666693,0.21268918784722218,0.26970079229166666,19.194671347222222,-5.77204794375,0.0349082334,91818.37611111112,0.24119499006944442,0.0935297604004547,0.2420026459722222,1,4.32,68.52,22.07,18.59,0.0,1.7,0,4.32,0,1,0.212675426,-0.22659673800000002
19.907245763888913,0.20962068826388885,0.2665863038888889,19.014561375,-5.8186365166666665,0.03664809405025,91885.48375000001,0.23810349607638887,0.1234982763084547,0.23884529562499995,1,4.17,70.56,22.41,18.12,0.0,1.37,0,4.17,0,1,0.209265003,-0.225181459
19.582476597222243,0.2070771322222222,0.26383188048611106,18.51012643055555,-5.836340840972222,0.18575712606,92015.29277777778,0.23545450635416662,0.4023373056232047,0.23605844734374995,1,3.8,73.63,22.33,18.42,0.0,2.04,0,3.8,0,1,0.20585458,-0.22376618
19.829150486111132,0.2048261431944444,0.2612167993055555,18.70000573611111,-6.138259742361111,0.346659113225,92008.19680555555,0.23302147124999995,0.9409624771754547,0.2336301275520833,1,3.75,70.29,22.87,18.12,0.0,2.23,0,3.75,0,1,0.205243542,-0.221697386
19.75887680555558,0.20280827413888886,0.25894059034722217,18.502178402777776,-5.826992501388889,0.12214107322250001,91988.83222222222,0.2308744322430555,0.6102848266929547,0.23132917588888885,1,2.8,79.34,20.18,18.66,0.0,2.32,0,2.8,0,1,0.20463250400000002,-0.219628592
20.91804256944447,0.20159128031249995,0.25713062340277776,16.109063902777777,-5.515043881944444,0.5267403176,91921.40402777777,0.22936095185763886,1.2163617889254548,0.22970347987847217,1,3.17,76.46,17.92,19.09,0.0,2.27,0,3.17,0,1,0.204021466,-0.217559798
